名稱:             描述:
ad5mr2rd          "Monopoly Road To Riches (Mazooma) (Adder 5) (set 5)"
ad5mr2re          "Monopoly Road To Riches (Mazooma) (Adder 5) (set 6)"
ad5mr2rf          "Monopoly Road To Riches (Mazooma) (Adder 5) (set 7)"
ad5mr2rg          "Monopoly Road To Riches (Mazooma) (Adder 5) (set 8)"
ad5mr2rh          "Monopoly Road To Riches (Mazooma) (Adder 5) (set 9)"
ad5mww            "Random Monopoly Wonders Of The World (PR2284) (Mazooma) (Adder 5)"
ad5mwwa           "Random Monopoly Wonders Of The World (PR2291) (Mazooma) (Adder 5)"
ad5pking          "Poker King (Bellfruit) (Adder 5) (set 1)"
ad5pkinga         "Poker King (Bellfruit) (Adder 5) (set 2)"
ad5pp             "Pink Panther (PR2283, QPSNPINK) (Mazooma) (Adder 5) (set 1)"
ad5ppa            "Pink Panther (PR2283, QPSNPINK) (Mazooma) (Adder 5) (set 2)"
ad5ppb            "Pink Panther (PR2267, MAZNPINK) (Mazooma) (Adder 5) (set 1)"
ad5ppbtb          "Pink Panther Break The Bank (PR2304, QPSNPPBB) (Qps) (Adder 5) (set 1)"
ad5ppbtba         "Pink Panther Break The Bank (PR2304, QPSNPPBB) (Qps) (Adder 5) (set 2)"
ad5ppbtbb         "Pink Panther Break The Bank (PR2304, QPSPPPBB) (Qps) (Adder 5) (set 1)"
ad5ppbtbc         "Pink Panther Break The Bank (PR2304, QPSPPPBB) (Qps) (Adder 5) (set 2)"
ad5ppc            "Pink Panther (PR2267, MAZNPINK) (Mazooma) (Adder 5) (set 2)"
ad5ppd            "Pink Panther (MAZNPINK) (Mazooma) (Adder 5) (set 1)"
ad5ppe            "Pink Panther (MAZNPINK) (Mazooma) (Adder 5) (set 2)"
ad5ppf            "Pink Panther (PR2283, QPSPPINK) (Mazooma) (Adder 5) (set 1)"
ad5ppg            "Pink Panther (PR2283, QPSPPINK) (Mazooma) (Adder 5) (set 2)"
ad5pph            "Pink Panther (PR2267, MAZPPINK) (Mazooma) (Adder 5)"
ad5ppi            "Pink Panther (MAZPPINK) (Mazooma) (Adder 5) (set 1)"
ad5ppj            "Pink Panther (MAZPPINK) (Mazooma) (Adder 5) (set 2)"
ad5rapid          "Rapid Pay (Bellfruit) (Adder 5) (set 1)"
ad5rapida         "Rapid Pay (Bellfruit) (Adder 5) (set 2)"
ad5rcash          "Reel Cash (Mazooma) (Adder 5) (set 1)"
ad5rcasha         "Reel Cash (Mazooma) (Adder 5) (set 2)"
ad5rroul          "Reel Roulette (QPSNRLRO) (Mazooma) (Adder 5)"
ad5rroula         "Reel Roulette (QPSPRLRO) (Mazooma) (Adder 5)"
ad5rroulb         "Reel Roulette (MAZNRERO) (Mazooma) (Adder 5)"
ad5rroulc         "Reel Roulette (MAZPRERO) (Mazooma) (Adder 5)"
ad5rsclb          "Random Spinner Club (PR1669, BFGNRNDN) (Bellfruit) (Adder 5) (set 1)"
ad5rsclba         "Random Spinner Club (PR1826, BFGNRNDN) (Bellfruit) (Adder 5) (set 1)"
ad5rsclbb         "Random Spinner Club (PR1826, BFGNRNDN) (Bellfruit) (Adder 5) (set 2)"
ad5rsclbc         "Random Spinner Club (PR1669, BFGNRNDN) (Bellfruit) (Adder 5) (set 2)"
ad5rsclbd         "Random Spinner Club (PR1669, BFGNRNDN) (Bellfruit) (Adder 5) (set 3)"
ad5rsclbe         "Random Spinner Club (PR1669, BFGNRNDN) (Bellfruit) (Adder 5) (set 4)"
ad5rsclbf         "Random Spinner Club (PR1669, BFGPRNDN) (Bellfruit) (Adder 5) (set 1)"
ad5rsclbg         "Random Spinner Club (PR1826, BFGPRNDN) (Bellfruit) (Adder 5) (set 1)"
ad5rsclbh         "Random Spinner Club (PR1826, BFGPRNDN) (Bellfruit) (Adder 5) (set 2)"
ad5rsclbi         "Random Spinner Club (PR1669, BFGPRNDN) (Bellfruit) (Adder 5) (set 2)"
ad5rsclbj         "Random Spinner Club (PR1669, BFGPRNDN) (Bellfruit) (Adder 5) (set 3)"
ad5rsnw           "Random Spin 'n' Win (PR2226, MAZNRNDN) (Mazooma) (Adder 5) (set 1)"
ad5rsnwa          "Random Spin 'n' Win (PR2226, MAZNRNDN) (Mazooma) (Adder 5) (set 2)"
ad5rsnwb          "Random Spin 'n' Win (PR2226, MAZPRNDN) (Mazooma) (Adder 5) (set 1)"
ad5rsnwc          "Random Spin 'n' Win (PR2226, MAZPRNDN) (Mazooma) (Adder 5) (set 2)"
ad5rspin          "Random Spinner (PR1669, BFGNRNDN) (Bellfruit) (Adder 5) (set 1)"
ad5rspinb         "Random Spinner (PR1669, BFGPRNDN) (Bellfruit) (Adder 5) (set 2)"
ad5rspinc         "Random Spinner (Bellfruit) (Adder 5) (set 1)"
ad5rsrm           "Ronnie O'Sullivan's Rocket Money (Bellfruit) (Adder 5) (set 1)"
ad5rsrma          "Ronnie O'Sullivan's Rocket Money (Bellfruit) (Adder 5) (set 2)"
ad5rsrr           "Ronnie O'Sullivan's Rocket Money (Bellfruit) (Adder 5) (set 3)"
ad5rsrra          "Ronnie O'Sullivan's Rocket Money (Bellfruit) (Adder 5) (set 4)"
ad5rwclb          "Random Winner Club (PR1756, BFGNRWSX) (Bellfruit) (Adder 5) (set 1)"
ad5rwclba         "Random Winner Club (PR1756, BFGNRWSX) (Bellfruit) (Adder 5) (set 2)"
ad5rwclbb         "Random Winner Club (PR1756, BFGPRWSX) (Bellfruit) (Adder 5) (set 1)"
ad5rwclbc         "Random Winner Club (PR1756, BFGPRWSX) (Bellfruit) (Adder 5) (set 2)"
ad5rwclbd         "Random Winner Club (PR1757, BFGPRWCL) (Bellfruit) (Adder 5)"
ad5rwclbe         "Random Winner Club (PR1757, BFGNRWCL) (Bellfruit) (Adder 5)"
ad5sslam          "Super Slam (Bellfruit) (Adder 5) (set 1)"
ad5sslama         "Super Slam (Bellfruit) (Adder 5) (set 2)"
ad5sslamb         "Super Slam (Bellfruit) (Adder 5) (set 3)"
ad5sslamc         "Super Slam (Bellfruit) (Adder 5) (set 4)"
ad5sslamd         "Super Slam (Bellfruit) (Adder 5) (set 5)"
ad5sslame         "Super Slam (Bellfruit) (Adder 5) (set 6)"
ad5sslamf         "Super Slam (Bellfruit) (Adder 5) (set 7)"
ad5tornc          "Tornado Club (PR1629, 5.5, rv 8, BFGNTORD) (Bellfruit) (Adder 5)"
ad5tornca         "Tornado Club (PR1629, 5.8, rv 7, BFGNTORD) (Bellfruit) (Adder 5)"
ad5torncb         "Tornado Club (PR1629, 5.5, rv 8, BFGPTORD) (Bellfruit) (Adder 5)"
ad5torncc         "Tornado Club (PR1629, 5.8, rv 7, BFGPTORD) (Bellfruit) (Adder 5)"
ad5torncd         "Tornado Club (PR1627, 0.1, rv 1, BFGPTORN) (Bellfruit) (Adder 5)"
ad5tornce         "Tornado Club (PR1627, 0.1, rv 1, BFGNTORN) (Bellfruit) (Adder 5)"
ad5vlv            "Viva Las Vegas (Bellfruit) (Adder 5) (set 1)"
ad5vlvb           "Viva Las Vegas (Bellfruit) (Adder 5) (set 2)"
ad5vlvc           "Viva Las Vegas (Bellfruit) (Adder 5) (set 3)"
ad5vlvd           "Viva Las Vegas (Bellfruit) (Adder 5) (set 4)"
ad5vlve           "Viva Las Vegas (Bellfruit) (Adder 5) (set 5)"
ad5vlvf           "Viva Las Vegas (Bellfruit) (Adder 5) (set 6)"
ad5vpa            "Video Poker Ace (Bellfruit) (Adder 5) (set 1)"
ad5vpaa           "Video Poker Ace (Bellfruit) (Adder 5) (set 2)"
ad5vpab           "Video Poker Ace (Bellfruit) (Adder 5) (set 3)"
ad5vpac           "Video Poker Ace (Bellfruit) (Adder 5) (set 4)"
adillor           "Armadillo Racing (Rev. AM1 Ver.A)"
adonis            "花花公子"
adults            "Adults Only (Russia) (Extrema)"
aerfboo2          "鐵鷹戰士 ( 盜二版 )"
aerfboot          "鐵鷹戰士 ( 盜一版 )"
aeroboto          "變形金剛 ( 美版 )"
aerofgt           "鐵鷹戰士"
aerofgtb          "鐵鷹戰士 ( 一版 )"
aerofgtc          "鐵鷹戰士 ( 二版 )"
aerofgts          "鐵鷹戰士特別版 ( 台版 )"
aerolitos         "Aerolitos (Spanish bootleg of Asteroids)"
aes               "Neo-Geo AES"
afighter          "陸海空任務"
afire             "銀河戰火"
afm_10            "Attack From Mars (1.0)"
afm_11            "Attack From Mars (1.1)"
afm_113           "Attack From Mars (1.13, Free play)"
afm_113b          "Attack From Mars (1.13b)"
afm_11u           "Attack From Mars (1.1 Ultrapin)"
aftor             "Af-Tor"
afv_l4            "Addams Family Values (Coin Dropper L-4)"
agallet           "石破天驚"
agalleth          "Air Gallet (Hong Kong)"
agalletj          "Akuu Gallet (Japan)"
agalletk          "Air Gallet (Korea)"
agallett          "Air Gallet (Taiwan)"
agalletu          "Air Gallet (USA)"
agent777          "Agents 777"
agentx1           "神探 X ( 一版 )"
agentx2           "神探 X ( 二版 )"
agentx3           "神探 X ( 三版 )"
agentx4           "神探 X ( 四版 )"
agress            "導彈大戰略"
agressb           "導彈大戰略 ( 盜版 )"
agsoccer          "A.G. Soccer Ball"
ainferno          "空中煉獄"
ainfernoj         "Air Inferno (Japan)"
airass            "Air Assault (World)"
airattck          "空襲 ( 一版 )"
airattcka         "Air Attack (set 2)"
airbustr          "空戰剋星 ( 世界版 )"
airbustrb         "Air Buster: Trouble Specialty Raid Unit (bootleg)"
airbustrj         "Air Buster: Trouble Specialty Raid Unit (Japan)"
airco22b          "實感空戰 2"
aircomb           "Air Combat (US)"
aircombj          "實感空戰 ( 日版 )"
airduel           "空中決戰"
airlbios          "Naomi Airline Pilots (deluxe) Bios"
airrace           "Air Race (prototype)"
airraid           "空襲 ( 解密版 )"
airtrix           "滑板王"
airwolf           "飛狼"
airwolfa          "飛狼 ( 美版 )"
ajax              "特殊部隊"
ajaxj             "特殊部隊 ( 日版 )"
akamaru           "阿 Q 猜謎王"
aking             "Angler King (AG1 Ver. A)"
akiss             "麻將天使之吻"
akkanvdr          "太空侵略者 95 ( 日版 )"
akumajou          "Akuma-Jou Dracula (Japan version P)"
akumajoun         "Akuma-Jou Dracula (Japan version N)"
aladmdb           "Aladdin (bootleg of Japanese Megadrive version)"
albatross         "Albatross (US Prototype?)"
alcapone          "Al Capone"
alcat_l7          "Alley Cats (Shuffle) (L-7)"
alcon             "壓制戰爭 ( 美版 )"
aleck64           "Aleck64 PIF BIOS"
alexkidd          "天空魔城 ( 二版 )"
alexkidd1         "Alex Kidd: The Lost Stars (set 1, FD1089A 317-0021)"
alg_bios          "American Laser Games BIOS"
algar_l1          "Algar (L-1)"
ali               "Ali"
alibaba           "阿里巴巴與四十大盜"
alibabab          "Mustafa and 40 Thieves (bootleg)"
alien             "Alien: The Arcade Medal Edition"
alien3            "異形 3 ( 世界版 )"
alien3u           "異形 3 ( 美版 )"
alienar           "異形競技場"
alienaru          "異形競技場 ( 星際奇兵升級版 )"
aliencha          "Alien Challenge (World)"
alienchac         "Alien Challenge (China)"
aliencr           "Alien Crush"
alienfnt          "Alien Front (Rev T)"
alienfnta         "Alien Front (Rev A)"
alieninv          "異形入侵 2 ( 盜版 )"
alieninvp2        "Alien Invasion Part II"
aliens            "異形 ( 世界一版 )"
aliens2           "異形 ( 世界二版 )"
aliens3           "異形 ( 世界三版 )"
aliensa           "Aliens (Asia)"
aliensec          "異形戰區"
aliensj           "異形 ( 日一版 )"
aliensj2          "異形 ( 日二版 )"
alienstr          "Alien Star"
aliensu           "異形 ( 美版 )"
aliensyn          "異形入侵 ( 四版 )"
aliensyn2         "Alien Syndrome (set 2, System 16A, FD1089A 317-0033)"
aliensyn3         "Alien Syndrome (set 3, System 16B, FD1089A 317-0033)"
aliensyn5         "Alien Syndrome (set 5, System 16A, FD1089B 317-0037)"
aliensyn7         "Alien Syndrome (set 7, System 16B, MC-8123B 317-00xx)"
aliensynj         "Alien Syndrome (set 6, Japan, new, System 16B, FD1089A 317-0033)"
aliensynjo        "Alien Syndrome (set 1, Japan, old, System 16A, FD1089A 317-0033)"
aligator          "鱷魚獵人"
aligatorun        "Alligator Hunt (unprotected)"
alinvade          "Alien Invaders"
alleymas          "保齡球大師"
allied            "Allied System"
alpha1v           "阿爾法壹號 ( 夢幻電子 )"
alphaho           "阿爾法戰機 + 勇往直前"
alpham2           "組合戰機 2 / 阿爾法任務 2"
alpham2p          "Alpha Mission II / ASO II - Last Guardian (prototype)"
alphamis          "阿爾法任務"
alphaone          "阿爾法壹號 ( 工程版 3 命 )"
alphaonea         "Alpha One (prototype, 5 lives)"
alphaxz           "阿爾法任務 ( 日版 )"
alpilota          "Airline Pilots (Rev A)"
alpiltdx          "Airline Pilots (deluxe) (Rev B)"
alpine            "高山滑雪 ( 一版 )"
alpinea           "高山滑雪 ( 二版 )"
alpinerc          "實感滑雪 ( C 版 )"
alpinerd          "實感滑雪 ( D 版 )"
alpinesa          "高山衝浪"
alpinr2a          "Alpine Racer 2 (Rev. ARS2 Ver.A)"
alpinr2b          "實感滑雪 2"
alpok_f6          "Alien Poker (L-6 French speech)"
alpok_l2          "Alien Poker (L-2)"
alpok_l6          "Alien Poker (L-6)"
altair            "牛郎星"
altbeast          "獸王記 ( 美七版 )"
altbeast2         "Altered Beast (set 2, MC-8123B 317-0066)"
altbeast4         "Altered Beast (set 4, MC-8123B 317-0066)"
altbeast5         "Altered Beast (set 5, FD1094 317-0069)"
altbeast6         "Altered Beast (set 6, 8751 317-0076)"
altbeastbl        "Altered Beast (Datsu bootleg)"
altbeastj         "Juuouki (set 7, Japan, 8751 317-0077)"
altbeastj1        "Juuouki (set 1, Japan, FD1094 317-0065)"
altbeastj3        "Juuouki (set 3, Japan, FD1094 317-0068)"
am_mg24           "Multi Game I (V.Ger 2.4)"
am_mg3            "Multi Game III (V.Ger 3.5)"
am_mg31i          "Multi Game III (S.Ita 3.1)"
am_mg33i          "Multi Game III (S.Ita 3.3)"
am_mg34i          "Multi Game III (S.Ita 3.4)"
am_mg35i          "Multi Game III (S.Ita 3.5)"
am_mg3a           "Multi Game III (V.Ger 3.64)"
amatelas          "聖戰士阿瑪迪斯"
amazon            "亞馬遜女戰士"
amazonh           "Amazon Hunt"
ambush            "十面埋伏"
ambushh           "Ambush (hack?)"
ambushj           "Ambush (Japan)"
ambushv           "十面埋伏 ( Volt Elec Co-ltd )"
amclink           "水果盤連線控制箱"
amerdart          "美式飛鏢 ( 一版 )"
amerdart2         "AmeriDarts (set 2)"
amerdart3         "AmeriDarts (set 3)"
america           "America 1492"
americna          "Americana (9131-00)"
amidar            "佔地金剛 ( 柯拿米 )"
amidar1           "Amidar (older)"
amidarb           "佔地金剛 ( 盜版 )"
amidaro           "佔地金剛 ( 奧林匹亞 )"
amidars           "佔地金剛 ( 攀登者硬體 )"
amidaru           "佔地金剛 ( 史坦 )"
amigo             "佔地金剛 ( 盜版 )"
ampkr228          "美國撲克 2 ( iamp2 v28 )"
ampkr2b1          "美國撲克 2 ( 盜一版 )"
ampkr2b2          "美國撲克 2 ( 盜二版 )"
ampkr2b3          "美國撲克 2 ( 盜三版 )"
ampkr2b4          "美國撲克 2 ( 盜四版 )"
ampkr95           "美國撲克 95"
ampoker2          "美國撲克 2"
amspdwy           "美國賽車競技場 ( 一版 )"
amspdwya          "美國賽車競技場 ( 二版 )"
amusco            "American Music Poker (V1.4)"
amuse             "賭博 5 合 1"
amuse1            "Amuse (Version 30.08 IBA)"
amuse1a           "Amuse (Version 30.08A)"
ancienta          "Ancient Atlantis (set 1)"
ancientaa         "Ancient Atlantis (set 2)"
ancientab         "Ancient Atlantis (set 3)"
ancientac         "Ancient Atlantis (set 4)"
ancientad         "Ancient Atlantis (set 5)"
andretti          "Mario Andretti"
andretti4         "Mario Andretti (rev.T4)"
androdun          "雷霆任務"
andromed          "仙女座"
andromep          "Andromeda (set 1)"
andromepa         "Andromeda (set 2)"
angelkds          "天使小子"
anibonus          "動物盤 ( 1.5XT )"
anibonusb1        "Animal Bonus (Version 1.7R, set 1)"
anibonusb2        "Animal Bonus (Version 1.7LT, set 1)"
anibonusd1        "Animal Bonus (Version 1.7R, set 2)"
anibonusd2        "Animal Bonus (Version 1.7LT, set 2)"
anibonuso         "Animal Bonus (Version 1.5)"
anibonuso2        "Animal Bonus (Version 1.4, set 1)"
anibonuso3        "Animal Bonus (Version 1.4, set 2)"
anibonusv1        "Animal Bonus (Version 1.8R Dual)"
anibonusv2        "Animal Bonus (Version 1.8LT Dual)"
anibonusxo        "Animal Bonus (Version 1.50XT)"
anibonusxo2       "Animal Bonus (Version 1.40XT, set 1)"
anibonusxo3       "Animal Bonus (Version 1.40XT, set 2)"
animalc           "Animal Catch"
animaljr          "瘋狂打地鼠 Jr"
animaljrj         "Waiwai Animal Land Jr. (Japan)"
animaljrs         "Animalandia Jr. (Spanish)"
anithunt          "動物尋寶 ( 1.7 )"
anithuntd1        "Animal Treasure Hunt (Version 1.9R, set 2)"
anithunto         "Animal Treasure Hunt (Version 1.7)"
anithunto2        "Animal Treasure Hunt (Version 1.5)"
anithuntv1        "Animal Treasure Hunt (Version 1.9R Dual)"
anmlbskt          "Animal Basket"
antar             "Antar (set 1)"
antar2            "Antar (set 2)"
antcleo           "Antony and Cleopatra (10177211, Malaysia)"
anteater          "食蟻獸"
anteaterg         "Ameisenbaer (German)"
anteateruk        "The Anteater (UK)"
antiairc          "Anti-Aircraft [TTL]"
aodk              "痛快行進曲"
aof               "龍虎拳"
aof2              "龍虎拳 2 ( 一版 )"
aof2a             "龍虎拳 2 ( 二版 )"
aof3              "龍虎拳 3"
aof3k             "龍虎拳 3 ( 韓版 )"
aoh               "絲路傳奇 2"
apache3           "阿帕契 3"
apache3a          "阿帕契 3 ( 日版 )"
apb               "全國大搜查 ( 七版 ) "
apb1              "全國大搜查 ( 一版 ) "
apb2              "全國大搜查 ( 二版 ) "
apb3              "全國大搜查 ( 三版 ) "
apb4              "全國大搜查 ( 四版 ) "
apb5              "全國大搜查 ( 五版 ) "
apb6              "全國大搜查 ( 六版 ) "
apbf              "全國大搜查 ( 法文 ) "
apbg              "全國大搜查 ( 德文 ) "
aplatoon          "Platoon V.3.1 US"
apollo13          "Apollo 13 (5.01)"
apollo13_10       "Apollo 13 (1.00)"
aponow            "救難直昇機 ( 盜版 )"
apparel           "霓裳豔影"
apple10           "蘋果 10 撲克"
appoooh           "摔角力士"
aquajack          "戰鬥快艇 ( 世界版 )"
aquajackj         "Aqua Jack (Japan)"
aquajacku         "Aqua Jack (US)"
aquajet           "Aqua Jet (Rev. AJ2 Ver.B)"
aqualand          "Aqualand"
aquarium          "水族館方塊"
aquarush          "水世界方塊"
ar_airh           "體育時間: 桌上曲棍球"
ar_airh2          "SportTime Table Hockey (Arcadia, set 2)"
ar_argh           "Aaargh (Arcadia)"
ar_bios           "Arcadia System BIOS"
ar_blast          "Blastaball (Arcadia, V 2.1)"
ar_bowl           "體育時間: 保齡球"
ar_dart           "世界飛鏢大賽"
ar_dart2          "World Darts (Arcadia, set 2)"
ar_dlta           "Delta Command (Arcadia)"
ar_fast           "魔術強森: 籃球快攻"
ar_fasta          "Magic Johnson's Fast Break (Arcadia, V 2.7)"
ar_ldrb           "高球名人賽 ( 2.4 )"
ar_ldrba          "高球名人賽 ( 2.5 )"
ar_ldrbb          "Leader Board (Arcadia, set 3)"
ar_ninj           "忍者大師"
ar_ninj2          "Ninja Mission (Arcadia, set 2)"
ar_pm             "Pharaohs Match (Arcadia)"
ar_rdwr           "公路戰爭"
ar_sdwr           "響尾蛇戰機"
ar_sdwr2          "Sidewinder (Arcadia, set 2)"
ar_socc           "世界盃足球"
ar_spot           "斑點棋"
ar_sprg           "太空巡邏員"
ar_xeon           "氙氣戰機"
arabfgt           "阿拉伯戰記 ( 世界版 )"
arabfgtj          "阿拉伯戰記 ( 日版 )"
arabfgtu          "阿拉伯戰記 ( 美版 )"
arabian           "阿拉丁"
arabiana          "阿拉丁 ( 雅達利 )"
arabianm          "阿拉丁神燈 ( 世界版 )"
arabianmj         "Arabian Magic (Ver 1.0J 1992/07/06)"
arabianmu         "Arabian Magic (Ver 1.0A 1992/07/06)"
arac6000          "Super Six Plus II English Mark Darts"
aracnis           "Aracnis (bootleg of Scorpion on Moon Cresta hardware)"
arbalest          "強弩戰機"
arcadecl          "雅達利街機經典名作"
arcadian          "Arcadia (NMK)"
archrivl          "期逢敵手 ( 4.0 )"
archrivla         "Arch Rivals (rev 2.0 5/03/89)"
archrivlb         "Arch Rivals (rev 2.0 5/03/89, 8-way Joystick bootleg)"
arctthnd          "Arctic Thunder (v1.002)"
arcwins           "Arctic Wins (4XF5227H03, USA)"
area51            "禁區 51 ( R3000 )"
area51a           "Area 51 (Atari Games license, Oct 25, 1995)"
area51mx          "禁區 51 + 終極武力 合輯 ( 2.0 )"
area51t           "Area 51 (Time Warner license, Oct 17, 1996)"
area51ta          "Area 51 (Time Warner license, Nov 15, 1995)"
area88            "戰區 88 ( 日版 )"
area88r           "Area 88 (Japan Resale Ver.)"
arena             "Arena"
arescue           "Air Rescue (US)"
arescuej          "Air Rescue (Japan)"
argus             "百眼巨神"
argusg            "阿古斯超人"
arian             "阿利安任務"
arist_l1          "Aristocrat (Shuffle) (L-1)"
aristmk5          "MKV Set/Clear Chips (USA)"
aristmk6          "Aristocrat MK6 Base (15011025, Malaysia)"
ark1ball          "打磚塊 ( 盜版 )"
arkangc           "打磚塊 ( 盜版 )"
